timestamp,left_cmd,right_cmd,left_out,right_out
0.0,0.0,0.0,0.0,0.0
0.012066364288330078,0.0,0.0,0.0,0.0
0.0320439338684082,0.0,0.0,0.0,0.0
0.052040815353393555,0.0,0.0,0.0,0.0
0.0720517635345459,0.0,0.0,0.0,0.0
0.09203886985778809,0.0,0.0,0.0,0.0
0.11203932762145996,0.0,0.0,0.0,0.0
0.13205194473266602,0.0,0.0,0.0,0.0
0.15204834938049316,0.0,0.0,0.0,0.0
0.1720428466796875,0.0,0.0,0.0,0.0
0.19205117225646973,0.0,0.0,0.0,0.0
0.2120370864868164,0.0,0.0,0.0,0.0
0.23200535774230957,0.0,0.0,0.0,0.0
0.2519669532775879,0.0,0.0,0.0,0.0
0.2719707489013672,0.0,0.0,0.0,0.0
0.291978120803833,0.0,0.0,0.0,0.0
0.31198644638061523,0.0,0.0,0.0,0.0
0.3320481777191162,0.0,0.0,0.0,0.0
0.3519730567932129,0.0,0.0,0.0,0.0
0.37196850776672363,0.0,0.0,0.0,0.0
0.39201807975769043,0.0,0.0,0.0,0.0
0.41200685501098633,0.0,0.0,0.0,0.0
0.43197035789489746,0.0,0.0,0.0,0.0
0.45198655128479004,0.0,0.0,0.0,0.0
0.47197961807250977,0.0,0.0,0.0,0.0
0.4920222759246826,0.0,0.0,0.0,0.0
0.5119922161102295,0.0,0.0,0.0,0.0
0.5320072174072266,0.0,0.0,0.0,0.0
0.5519845485687256,0.0,0.0,0.0,0.0
0.5722248554229736,0.0,0.0,0.0,0.0
0.591843843460083,0.0,0.0,0.0,0.0
0.6120219230651855,0.0,0.0,0.0,0.0
0.6320536136627197,0.0,0.0,0.0,0.0
0.6520392894744873,0.0,0.0,0.0,0.0
0.6720461845397949,0.0,0.0,0.0,0.0
0.6920478343963623,0.0,0.0,0.0,0.0
0.7119476795196533,0.0,0.0,0.0,0.0
0.7320387363433838,0.0,0.0,0.0,0.0
0.7520298957824707,0.0,0.0,0.0,0.0
0.7719790935516357,0.0,0.0,0.0,0.0
0.7919971942901611,0.0,0.0,0.0,0.0
0.8119473457336426,0.0,0.0,0.0,0.0
0.8319659233093262,0.0,0.0,0.0,0.0
0.8519613742828369,0.0,0.0,0.0,0.0
0.8719742298126221,0.0,0.0,0.0,0.0
0.8919792175292969,0.0,0.0,0.0,0.0
0.9119663238525391,0.0,0.0,0.0,0.0
0.9319610595703125,0.0,0.0,0.0,0.0
0.9519610404968262,0.0,0.0,0.0,0.0
0.971954345703125,0.0,0.0,0.0,0.0
0.992011308670044,0.0,0.0,0.0,0.0
1.0119624137878418,0.0,0.0,0.0,0.0
1.031980037689209,0.0,0.0,0.0,0.0
1.0519614219665527,0.0,0.0,0.0,0.0
1.0719630718231201,0.0,0.0,0.0,0.0
1.0919749736785889,0.0,0.0,0.0,0.0
1.111962080001831,0.0,0.0,0.0,0.0
1.1319735050201416,0.0,0.0,0.0,0.0
1.151968002319336,0.0,0.0,0.0,0.0
1.1719748973846436,0.0,0.0,0.0,0.0
1.1919541358947754,0.0,0.0,0.0,0.0
1.2119669914245605,0.0,0.0,0.0,0.0
1.2319793701171875,0.0,0.0,0.0,0.0
1.2519497871398926,0.0,0.0,0.0,0.0
1.2719519138336182,0.0,0.0,0.0,0.0
1.291956901550293,0.0,0.0,0.0,0.0
1.3119635581970215,0.0,0.0,0.0,0.0
1.3319592475891113,0.0,0.0,0.0,0.0
1.3519599437713623,0.0,0.0,0.0,0.0
1.3719606399536133,0.0,0.0,0.0,0.0
1.3919661045074463,0.0,0.0,0.0,0.0
1.4119892120361328,0.0,0.0,0.0,0.0
1.4319546222686768,0.0,0.0,0.0,0.0
1.451969861984253,0.0,0.0,0.0,0.0
1.4719550609588623,0.0,0.0,0.0,0.0
1.4919726848602295,0.0,0.0,0.0,0.0
1.5119197368621826,0.0,0.0,0.0,0.0
1.531984806060791,0.0,0.0,0.0,0.0
1.5519540309906006,0.0,0.0,0.0,0.0
1.5719552040100098,0.0,0.0,0.0,0.0
1.5919709205627441,0.0,0.0,0.0,0.0
1.6119678020477295,0.0,0.0,0.0,0.0
1.6317875385284424,0.0,0.0,0.0,0.0
1.651892900466919,1.0,0.21763934439859528,0.02707275755964264,0.020053894488624182
1.671945333480835,1.0,0.040285888701810116,0.02707275755964264,0.015040420866468134
1.691946268081665,1.0,-0.19439305453291145,0.028075452284073855,0.009024252519880881
1.71195650100708,1.0,-0.30242871018589756,0.028075452284073855,0.004010778897724836
1.7320952415466309,1.0,-0.335662661299072,0.028075452284073855,0.003008084173293627
1.752058744430542,1.0,-0.3640284466628973,0.02707275755964264,-0.001002694724431209
1.7719571590423584,1.0,-0.3640284466628973,0.02707275755964264,-0.0050134736221560455
1.7919161319732666,1.0,-0.35975267188817484,0.029078147008505063,-0.007018863071018464
1.8120460510253906,1.0,-0.3264948182072118,0.028075452284073855,-0.006016168346587254
1.8320591449737549,1.0,-0.2486140036448672,0.02707275755964264,-0.007018863071018464
1.851940631866455,1.0,-0.1477456246962118,0.028075452284073855,-0.006016168346587254
1.8719465732574463,1.0,-0.005313843611326359,0.02707275755964264,-0.0050134736221560455
1.891951084136963,1.0,0.6212593686590256,0.02707275755964264,-0.002005389448862418
1.9119219779968262,0.8255256712436676,0.8255256712436676,0.02707275755964264,0.006016168346587254
