timestamp,linear_x,angular_z,enc_left,enc_right,odom_x,odom_y,odom_yaw
1773536466.6321292,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.6521068,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.6721635,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.6920817,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.7120957,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.732103,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.752094,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.7720823,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.7921116,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.812079,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.832066,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.8520832,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.8720944,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.8920856,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.9120922,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.9320571,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.9520562,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.9720597,0.0,0.0,0,0,0.0,0.0,0.0
1773536466.9920802,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.0120625,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.032094,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.052114,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.0720923,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.092081,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.112079,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.1320777,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.1520855,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.1720939,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.1920946,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.2120862,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.232098,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.2520812,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.2721026,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.2920656,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.312102,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.3320825,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.352135,0.0,0.0,0,0,0.0,0.0,0.0
1773536467.3721268,0.05777636170387268,0.0,0,0,0.0,0.0,0.0
1773536467.3920991,0.09080061316490173,0.0,0,0,0.0,0.0,0.0
1773536467.4121146,0.09492862224578857,0.0,0,0,0.0,0.0,0.0
1773536467.4321523,0.10318470001220703,0.0,0,3,0.0009115311910284432,4.154517477735143e-06,0.009115406585738263
1773536467.4521208,0.10731273889541626,0.0,0,6,0.0018229866428738119,1.6617724711826235e-05,0.018230813171476526
1773536467.4720898,0.1114407479763031,0.0,1,8,0.002734349527455308,3.461952574672476e-05,0.02126928203338928
